epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2980.24,1.06386,2.73635,1.50738,0.44679,0.07143,0.05961,0.04405,1.10242,2.97132,1.7088,2.05854e-05,2.05854e-05,2.05854e-05
40,3056.01,1.06498,2.70798,1.51564,0.44211,0.07244,0.05955,0.04462,1.10116,2.95354,1.71085,2.02587e-05,2.02587e-05,2.02587e-05
41,3130.31,1.06856,2.71231,1.51321,0.43503,0.074,0.06102,0.04488,1.10935,2.97255,1.72638,1.9932e-05,1.9932e-05,1.9932e-05
42,3205.75,1.06223,2.69589,1.51059,0.41659,0.07527,0.05985,0.04439,1.09717,2.95685,1.70065,1.96053e-05,1.96053e-05,1.96053e-05
43,3280.98,1.0555,2.68564,1.50227,0.44439,0.07706,0.06228,0.04609,1.09606,2.94392,1.70933,1.92786e-05,1.92786e-05,1.92786e-05
44,3356.44,1.05127,2.64916,1.49909,0.44305,0.07188,0.05954,0.04389,1.1027,2.94465,1.71001,1.89519e-05,1.89519e-05,1.89519e-05
45,3431.87,1.05037,2.63472,1.4969,0.41684,0.07556,0.06104,0.04465,1.09962,2.95165,1.70843,1.86252e-05,1.86252e-05,1.86252e-05
46,3507.3,1.04843,2.63317,1.49432,0.46885,0.06966,0.0621,0.04499,1.10463,2.96071,1.71536,1.82985e-05,1.82985e-05,1.82985e-05
47,3583.24,1.05052,2.62244,1.50318,0.47565,0.0707,0.06171,0.0446,1.11063,2.93464,1.72118,1.79718e-05,1.79718e-05,1.79718e-05
48,3658.12,1.05586,2.63853,1.50798,0.47401,0.06738,0.06444,0.04735,1.10465,2.92731,1.71518,1.76451e-05,1.76451e-05,1.76451e-05
49,3733.91,1.04658,2.59829,1.48978,0.42371,0.07645,0.06358,0.04647,1.10171,2.93364,1.7087,1.73184e-05,1.73184e-05,1.73184e-05
50,3808.26,1.04098,2.60167,1.49436,0.44414,0.07169,0.06379,0.04689,1.10637,2.93249,1.70565,1.69917e-05,1.69917e-05,1.69917e-05
51,3882.92,1.04045,2.56775,1.48884,0.42141,0.07534,0.06271,0.0458,1.10982,2.93441,1.71047,1.6665e-05,1.6665e-05,1.6665e-05
52,3957.91,1.04696,2.5669,1.49438,0.42149,0.07518,0.06454,0.04738,1.10569,2.93147,1.71498,1.63383e-05,1.63383e-05,1.63383e-05
53,4033.85,1.03424,2.54079,1.48409,0.3799,0.07851,0.06717,0.04899,1.10719,2.93218,1.71672,1.60116e-05,1.60116e-05,1.60116e-05
54,4109.1,1.0333,2.49225,1.48764,0.45718,0.06385,0.06689,0.04884,1.10747,2.91742,1.712,1.56849e-05,1.56849e-05,1.56849e-05
55,4185.44,1.03455,2.51909,1.48073,0.43268,0.0777,0.06668,0.04846,1.1118,2.91559,1.71344,1.53582e-05,1.53582e-05,1.53582e-05
56,4260.95,1.04237,2.50796,1.48447,0.40464,0.08115,0.06663,0.04854,1.11067,2.92713,1.71506,1.50315e-05,1.50315e-05,1.50315e-05
57,4339.08,1.0428,2.50449,1.48791,0.39675,0.0807,0.06592,0.04783,1.11134,2.92344,1.71897,1.47048e-05,1.47048e-05,1.47048e-05
58,4418.53,1.03375,2.48988,1.48004,0.397,0.07949,0.06575,0.04767,1.11092,2.91794,1.70818,1.43781e-05,1.43781e-05,1.43781e-05
59,4499.74,1.03543,2.47793,1.48294,0.37751,0.07989,0.06617,0.04724,1.11972,2.9229,1.7156,1.40514e-05,1.40514e-05,1.40514e-05
60,4580.04,1.03085,2.45609,1.47917,0.3833,0.08149,0.06734,0.04916,1.10902,2.91981,1.70205,1.37247e-05,1.37247e-05,1.37247e-05
61,4660.24,1.04358,2.47785,1.48707,0.39782,0.07974,0.06803,0.04966,1.10915,2.9214,1.70783,1.3398e-05,1.3398e-05,1.3398e-05
62,4740.36,1.02392,2.43571,1.47248,0.41337,0.07842,0.06852,0.04946,1.11938,2.92511,1.72127,1.30713e-05,1.30713e-05,1.30713e-05
63,4819.68,1.01964,2.41079,1.47159,0.42706,0.077,0.06729,0.04852,1.11578,2.926,1.71955,1.27446e-05,1.27446e-05,1.27446e-05
64,4899.39,1.01569,2.42917,1.46438,0.41868,0.07533,0.06748,0.04881,1.11329,2.92419,1.72039,1.24179e-05,1.24179e-05,1.24179e-05
65,4978.78,1.01865,2.40751,1.47113,0.38212,0.08046,0.06843,0.05007,1.11342,2.92675,1.72163,1.20912e-05,1.20912e-05,1.20912e-05
66,5055.57,1.02434,2.39682,1.47502,0.42743,0.07398,0.06904,0.05031,1.11617,2.91707,1.71513,1.17645e-05,1.17645e-05,1.17645e-05
67,5132.07,1.01718,2.38697,1.46666,0.39195,0.08065,0.06854,0.05007,1.10913,2.91428,1.70706,1.14378e-05,1.14378e-05,1.14378e-05
68,5208.19,1.03009,2.40745,1.48331,0.44104,0.06994,0.06823,0.04942,1.11016,2.92615,1.71183,1.11111e-05,1.11111e-05,1.11111e-05
69,5283.88,1.01186,2.36281,1.46341,0.43598,0.07088,0.06958,0.05052,1.11458,2.91148,1.71742,1.07844e-05,1.07844e-05,1.07844e-05
70,5358.84,1.02329,2.38597,1.47424,0.39277,0.07565,0.06883,0.05016,1.11105,2.91055,1.70814,1.04577e-05,1.04577e-05,1.04577e-05
71,5433.36,1.01792,2.3478,1.46272,0.39422,0.07758,0.06965,0.0506,1.1159,2.93034,1.71763,1.0131e-05,1.0131e-05,1.0131e-05
72,5509,1.01088,2.36403,1.46369,0.40756,0.07863,0.06991,0.05032,1.11734,2.90713,1.71525,9.8043e-06,9.8043e-06,9.8043e-06
73,5584.71,1.0037,2.34195,1.45252,0.40079,0.07828,0.06981,0.0505,1.11137,2.91475,1.71353,9.4776e-06,9.4776e-06,9.4776e-06
74,5660.17,1.00769,2.34801,1.45981,0.4024,0.07988,0.06972,0.05046,1.11427,2.90679,1.71883,9.1509e-06,9.1509e-06,9.1509e-06
75,5735.66,1.00209,2.31937,1.44858,0.40237,0.07985,0.06998,0.0504,1.11326,2.90201,1.72115,8.8242e-06,8.8242e-06,8.8242e-06
76,5810.8,1.01324,2.3492,1.46505,0.36133,0.08758,0.07075,0.05109,1.11818,2.90758,1.72137,8.4975e-06,8.4975e-06,8.4975e-06
77,5886.86,1.00852,2.34155,1.46154,0.3801,0.08134,0.07043,0.05107,1.11277,2.90897,1.71466,8.1708e-06,8.1708e-06,8.1708e-06
78,5962.11,1.00576,2.33185,1.45795,0.37329,0.08322,0.07042,0.05088,1.11313,2.89889,1.71686,7.8441e-06,7.8441e-06,7.8441e-06
79,6035.74,1.00819,2.33546,1.45812,0.3743,0.08245,0.07057,0.05124,1.10958,2.90697,1.71521,7.5174e-06,7.5174e-06,7.5174e-06
