epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.111,1.21511,4.90486,1.62441,0.57063,0.02063,0.01312,0.00868,1.236,3.68279,1.79107,0.00333072,0.00333072,0.00333072
2,792.665,1.25941,3.97858,1.64801,0.46135,0.0402,0.02788,0.01825,1.35547,3.42624,1.97358,0.00659808,0.00659808,0.00659808
3,1090.26,1.30246,3.76482,1.6621,0.50207,0.04448,0.03407,0.02229,1.40605,3.18625,1.9524,0.00979944,0.00979944,0.00979944
4,1369.19,1.31362,3.6044,1.65643,0.54085,0.06971,0.05792,0.03966,1.2543,3.00572,1.82765,0.009703,0.009703,0.009703
5,1648.91,1.26493,3.33498,1.61302,0.49791,0.08171,0.06603,0.04731,1.23561,2.92578,1.79312,0.009604,0.009604,0.009604
6,1929.48,1.24069,3.11737,1.59113,0.50686,0.09692,0.08426,0.05931,1.18407,2.70234,1.72084,0.009505,0.009505,0.009505
7,2206.9,1.21943,2.94266,1.57854,0.5165,0.11447,0.08931,0.06375,1.15447,2.66822,1.70249,0.009406,0.009406,0.009406
8,2486.77,1.20675,2.84652,1.56628,0.53335,0.11015,0.10075,0.07255,1.16233,2.60268,1.70653,0.009307,0.009307,0.009307
9,2768.93,1.19204,2.75302,1.55093,0.51963,0.11825,0.10117,0.07102,1.1417,2.56946,1.6875,0.009208,0.009208,0.009208
10,3051.57,1.18115,2.67416,1.54098,0.58084,0.12114,0.11143,0.08274,1.09917,2.47225,1.66298,0.009109,0.009109,0.009109
11,3335.74,1.16982,2.62801,1.53999,0.53487,0.14293,0.12859,0.09398,1.10582,2.41963,1.66108,0.00901,0.00901,0.00901
12,3623.3,1.1585,2.57663,1.52936,0.49472,0.15021,0.13437,0.09998,1.08179,2.36501,1.63083,0.008911,0.008911,0.008911
13,3903.58,1.15111,2.53174,1.51924,0.54794,0.15625,0.14925,0.10939,1.07962,2.33778,1.62698,0.008812,0.008812,0.008812
14,4183.65,1.14542,2.48802,1.51484,0.5405,0.14885,0.14489,0.10778,1.09106,2.30846,1.63321,0.008713,0.008713,0.008713
15,4462.46,1.14133,2.44923,1.50993,0.50508,0.15978,0.14342,0.1075,1.05954,2.2581,1.60461,0.008614,0.008614,0.008614
16,4748.41,1.13031,2.40953,1.50443,0.60123,0.14588,0.14916,0.11259,1.06957,2.22912,1.6267,0.008515,0.008515,0.008515
17,5050.18,1.12581,2.38881,1.50147,0.56156,0.16246,0.16014,0.1174,1.05995,2.22766,1.62642,0.008416,0.008416,0.008416
18,5353.84,1.12472,2.36843,1.50144,0.60708,0.14003,0.15565,0.11826,1.05106,2.18042,1.59332,0.008317,0.008317,0.008317
19,5647.41,1.11473,2.3276,1.49503,0.5032,0.17455,0.16492,0.12396,1.04511,2.1752,1.59712,0.008218,0.008218,0.008218
20,5930.11,1.11179,2.29691,1.48801,0.54428,0.1698,0.16356,0.12339,1.03899,2.15972,1.58466,0.008119,0.008119,0.008119
21,6208.6,1.10879,2.28186,1.48719,0.53714,0.1639,0.16746,0.12696,1.0364,2.14409,1.58284,0.00802,0.00802,0.00802
22,6494.1,1.10146,2.23388,1.48227,0.52779,0.1694,0.17122,0.12913,1.03017,2.14411,1.58546,0.007921,0.007921,0.007921
23,6773.04,1.09406,2.22308,1.4799,0.53641,0.17252,0.17746,0.1341,1.03163,2.10209,1.581,0.007822,0.007822,0.007822
24,7054.08,1.09447,2.20824,1.47452,0.51735,0.17655,0.17945,0.13672,1.027,2.10953,1.57567,0.007723,0.007723,0.007723
25,7339.7,1.09257,2.17127,1.4761,0.5506,0.17207,0.18032,0.1383,1.02415,2.10869,1.57646,0.007624,0.007624,0.007624
26,7621.01,1.09539,2.16473,1.47531,0.51778,0.18499,0.18964,0.14371,1.02033,2.07569,1.56971,0.007525,0.007525,0.007525
27,7900.44,1.08359,2.14647,1.46843,0.53965,0.18069,0.18832,0.14197,1.024,2.08457,1.57577,0.007426,0.007426,0.007426
28,8182.57,1.08254,2.11249,1.46825,0.52184,0.18626,0.18978,0.1432,1.02419,2.08519,1.57038,0.007327,0.007327,0.007327
29,8459.73,1.07606,2.09984,1.46108,0.54255,0.17764,0.19305,0.14734,1.01308,2.08918,1.5611,0.007228,0.007228,0.007228
