epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15101.5,1.05405,2.12333,1.38929,0.43988,0.17785,0.16734,0.1311,1.00391,2.43611,1.55416,0.005842,0.005842,0.005842
44,15444.6,1.04976,2.10285,1.38445,0.4486,0.17177,0.16811,0.13156,1.00324,2.43152,1.55354,0.005743,0.005743,0.005743
45,15792,1.04541,2.08138,1.38007,0.43155,0.17887,0.16747,0.13098,1.00274,2.43114,1.55371,0.005644,0.005644,0.005644
46,16144.5,1.04568,2.077,1.38449,0.39549,0.18635,0.16811,0.13189,1.00281,2.43419,1.55333,0.005545,0.005545,0.005545
47,16496.9,1.04598,2.06516,1.38722,0.40656,0.18103,0.16865,0.13247,1.00406,2.43707,1.55402,0.005446,0.005446,0.005446
48,16850.4,1.04303,2.04459,1.38198,0.38811,0.19124,0.16707,0.13068,1.00403,2.43945,1.55382,0.005347,0.005347,0.005347
49,17198.1,1.04053,2.03541,1.38275,0.3713,0.19437,0.16855,0.13216,1.0051,2.44004,1.55529,0.005248,0.005248,0.005248
50,17544.7,1.03599,2.01365,1.38,0.36413,0.19539,0.169,0.13231,1.00451,2.43881,1.55519,0.005149,0.005149,0.005149
51,17890.3,1.03008,1.99165,1.37154,0.36225,0.19891,0.1701,0.13324,1.00422,2.44027,1.55502,0.00505,0.00505,0.00505
52,18242.9,1.0401,1.99625,1.38112,0.37695,0.19551,0.17004,0.13331,1.00481,2.44289,1.55571,0.004951,0.004951,0.004951
53,18589.4,1.033,1.97346,1.37382,0.38169,0.19591,0.16861,0.1323,1.0046,2.44654,1.55526,0.004852,0.004852,0.004852
54,18944,1.02933,1.95504,1.3734,0.37677,0.19516,0.16838,0.13209,1.00424,2.44791,1.55552,0.004753,0.004753,0.004753
55,19295.3,1.0275,1.94168,1.37212,0.37606,0.19685,0.16924,0.13272,1.00423,2.44988,1.55553,0.004654,0.004654,0.004654
56,19648.5,1.02396,1.92368,1.36855,0.37796,0.19614,0.16935,0.13295,1.00384,2.44968,1.55476,0.004555,0.004555,0.004555
57,20000.7,1.02514,1.92376,1.37334,0.36913,0.19626,0.16833,0.13192,1.00403,2.45126,1.55536,0.004456,0.004456,0.004456
58,20347.2,1.02239,1.89979,1.36884,0.37056,0.19566,0.16892,0.13255,1.00421,2.45347,1.55629,0.004357,0.004357,0.004357
59,20693.7,1.01966,1.88561,1.36401,0.37695,0.19211,0.16872,0.13231,1.00489,2.45564,1.55731,0.004258,0.004258,0.004258
60,21039.1,1.02201,1.87731,1.36818,0.36743,0.19707,0.1689,0.13266,1.005,2.45644,1.55797,0.004159,0.004159,0.004159
61,21385.6,1.01463,1.85385,1.35924,0.35998,0.19656,0.16876,0.13276,1.0054,2.45759,1.5586,0.00406,0.00406,0.00406
62,21734.4,1.01462,1.84408,1.36321,0.36268,0.19369,0.1691,0.13299,1.00589,2.45878,1.55896,0.003961,0.003961,0.003961
63,22080.9,1.01254,1.83894,1.36019,0.37055,0.19219,0.17015,0.13344,1.00665,2.46161,1.5602,0.003862,0.003862,0.003862
64,22425.3,1.00894,1.82048,1.35863,0.36125,0.19542,0.16978,0.13307,1.00703,2.46215,1.56098,0.003763,0.003763,0.003763
65,22777.6,1.01048,1.80629,1.35732,0.36744,0.19301,0.169,0.1322,1.00792,2.46378,1.56165,0.003664,0.003664,0.003664
66,23126.3,1.00762,1.78609,1.3561,0.36253,0.19279,0.16915,0.1323,1.00904,2.4659,1.56285,0.003565,0.003565,0.003565
67,23477.1,1.00267,1.78523,1.35593,0.36396,0.19157,0.16926,0.13249,1.00969,2.46813,1.56353,0.003466,0.003466,0.003466
68,23824.7,1.00236,1.76147,1.35202,0.36417,0.19149,0.16842,0.13165,1.00968,2.46972,1.5636,0.003367,0.003367,0.003367
69,24172.6,1.00578,1.76363,1.35886,0.36454,0.19169,0.16847,0.13197,1.00918,2.47115,1.56328,0.003268,0.003268,0.003268
70,24522.9,0.99478,1.73557,1.34957,0.36661,0.19074,0.16872,0.13213,1.00972,2.47351,1.56381,0.003169,0.003169,0.003169
71,24868.8,0.99018,1.71585,1.34439,0.36909,0.18928,0.16868,0.13207,1.00994,2.47566,1.56438,0.00307,0.00307,0.00307
72,25236.5,0.98988,1.71978,1.34379,0.36786,0.18867,0.16877,0.13222,1.01025,2.47875,1.56512,0.002971,0.002971,0.002971
73,25584,0.98824,1.70227,1.34677,0.36855,0.18845,0.16896,0.1324,1.01072,2.48198,1.56598,0.002872,0.002872,0.002872
74,25937,0.98585,1.68827,1.34392,0.36739,0.18617,0.16826,0.13188,1.01168,2.48438,1.56715,0.002773,0.002773,0.002773
75,26278.4,0.9843,1.66767,1.33818,0.37772,0.18285,0.16893,0.1322,1.01191,2.48648,1.5677,0.002674,0.002674,0.002674
76,26622.1,0.9834,1.66903,1.34216,0.37865,0.18178,0.16877,0.13223,1.01086,2.48807,1.56705,0.002575,0.002575,0.002575
77,26965.6,0.98188,1.65087,1.33926,0.37936,0.18158,0.16866,0.13196,1.01136,2.49151,1.56765,0.002476,0.002476,0.002476
78,27313.1,0.97612,1.63821,1.33485,0.37759,0.18174,0.16893,0.1321,1.01264,2.49507,1.56925,0.002377,0.002377,0.002377
79,27653.2,0.97586,1.6202,1.33682,0.38155,0.18128,0.1697,0.13268,1.0136,2.49824,1.57061,0.002278,0.002278,0.002278
80,27996.2,0.97385,1.61523,1.33421,0.38126,0.18051,0.16933,0.13229,1.01374,2.50033,1.57103,0.002179,0.002179,0.002179
81,28338.4,0.96746,1.59385,1.33128,0.37178,0.18228,0.16925,0.13225,1.01382,2.50274,1.57145,0.00208,0.00208,0.00208
82,28679.6,0.96917,1.59209,1.33079,0.37755,0.18194,0.16845,0.13175,1.01465,2.50596,1.57232,0.001981,0.001981,0.001981
83,29021.1,0.96158,1.56683,1.32679,0.36504,0.18317,0.16902,0.13199,1.01501,2.50808,1.5731,0.001882,0.001882,0.001882
84,29364,0.95805,1.55368,1.3216,0.3619,0.18229,0.17008,0.13198,1.0153,2.5104,1.57338,0.001783,0.001783,0.001783
85,29713.8,0.96357,1.54702,1.32281,0.36119,0.18217,0.1701,0.13197,1.01544,2.51392,1.57342,0.001684,0.001684,0.001684
86,30052.7,0.95964,1.54181,1.32367,0.35601,0.18148,0.17082,0.13229,1.01523,2.51632,1.57313,0.001585,0.001585,0.001585
87,30392.6,0.95844,1.53329,1.32269,0.35449,0.18085,0.17064,0.13222,1.01595,2.51913,1.57428,0.001486,0.001486,0.001486
88,30731.3,0.95627,1.52151,1.32184,0.3518,0.17926,0.17058,0.13226,1.01622,2.52183,1.57519,0.001387,0.001387,0.001387
89,31070.6,0.95086,1.50395,1.31672,0.36124,0.17702,0.17113,0.13265,1.01718,2.52481,1.57642,0.001288,0.001288,0.001288
90,31413.9,0.94635,1.49468,1.31496,0.3576,0.17706,0.17106,0.13261,1.01756,2.52833,1.57702,0.001189,0.001189,0.001189
91,31753.9,0.8499,1.16296,1.39906,0.3508,0.1794,0.17066,0.13224,1.01797,2.53245,1.5776,0.00109,0.00109,0.00109
92,32089.4,0.83147,1.09286,1.38215,0.35112,0.17971,0.16956,0.13217,1.01798,2.53611,1.57811,0.000991,0.000991,0.000991
93,32426.4,0.82242,1.05365,1.37258,0.34598,0.18149,0.16995,0.13264,1.01782,2.54006,1.57875,0.000892,0.000892,0.000892
94,32761,0.81995,1.03907,1.3689,0.34649,0.18386,0.17024,0.13284,1.0186,2.54458,1.57984,0.000793,0.000793,0.000793
95,33099.5,0.81171,1.01251,1.35936,0.34162,0.18535,0.17015,0.13251,1.01872,2.54929,1.58039,0.000694,0.000694,0.000694
96,33437.2,0.80441,0.99471,1.35515,0.34162,0.18494,0.1705,0.1329,1.01931,2.55344,1.5815,0.000595,0.000595,0.000595
97,33774,0.80003,0.97694,1.34948,0.33939,0.18594,0.17066,0.13299,1.01966,2.5596,1.58213,0.000496,0.000496,0.000496
98,34112.8,0.8004,0.96039,1.35253,0.34624,0.18549,0.17093,0.13332,1.01973,2.564,1.5828,0.000397,0.000397,0.000397
99,34450.4,0.79328,0.94551,1.34538,0.3559,0.18364,0.17065,0.13327,1.02033,2.5702,1.58359,0.000298,0.000298,0.000298
100,34788.4,0.78774,0.93491,1.33854,0.36137,0.18275,0.17057,0.13325,1.02077,2.57451,1.58452,0.000199,0.000199,0.000199
